date,query,title,url,source,snippet
2026-06-22,2026-06-23 today IT big tech acquisition news 5 deals acquisitions mergers,Google DeepMind signs AI research deal with film studio A24,https://www.reuters.com/business/media-telecom/google-deepmind-signs-ai-research-deal-with-film-studio-a24-2026-06-22/,Reuters,"Google DeepMind and A24 announced an AI research partnership; A24 gets access to DeepMind research, infrastructure and global reach."
2026-06-22,2026-06-23 today IT big tech acquisition news 5 deals acquisitions mergers,AI startup Reflection signs computing power deal with SpaceX,https://www.reuters.com/business/media-telecom/ai-startup-reflection-signs-computing-power-deal-with-spacex-2026-06-22/,Reuters,Reflection AI signed a deal with SpaceX for access to additional computing capacity at Colossus 2 data center.
2026-06-22,2026-06-23 today IT big tech acquisition news 5 deals acquisitions mergers,Danone to buy Australia’s food and beverage company MADE Group,https://www.reuters.com/legal/transactional/danone-buy-australias-food-beverage-company-made-group-2026-06-22/,Reuters,"Danone agreed to acquire MADE Group, expanding its essential dairy and plant-based division in Asia-Pacific."
2026-06-22,2026-06-23 today IT big tech acquisition news 5 deals acquisitions mergers,"U.S. tech megacaps slide as SpaceX extends slump, AI expense concerns grow",https://www.reuters.com/business/media-telecom/us-tech-megacaps-slide-spacex-extends-slump-ai-expense-concerns-grow-2026-06-22/,Reuters,"Market wrap mentioning tech megacaps and related AI spending concerns, with links to recent tech deals and transactions."
2026-06-22,2026-06-23 today IT big tech acquisition news 5 deals acquisitions mergers,Upscale AI valued at $2 billion after funding extension,https://www.reuters.com/business/upscale-ai-valued-2-billion-after-funding-extension-2026-06-22/,Reuters,"Upscale AI raised funding and reached a $2 billion valuation with participation from Nvidia, Salesforce Ventures and Temasek."
2026-06-22,2026-06-23 오늘 IT 대기업 인수 뉴스,SpaceX signs computing power deal with open-source AI startup Reflection worth up to $6.3 billion,https://www.cnbc.com/2026/06/22/spacex-ai-colossus-data-center-reflection.html,CNBC,"SpaceX has signed a major computing power agreement with Reflection AI, making the open-source artificial intelligence startup the latest outside company to tap Elon Musk's Colossus infrastructure."
2026-06-22,2026-06-23 오늘 IT 대기업 인수 뉴스,AI startup Reflection signs computing power deal with SpaceX,https://www.reuters.com/business/media-telecom/ai-startup-reflection-signs-computing-power-deal-with-spacex-2026-06-22/,Reuters,"Under the agreement, the open-source AI startup will get immediate access to Nvidia GB300s and has agreed to pay SpaceX $150 million per month beginning July 1, 2026, through 2029."
2026-06-22,2026-06-23 오늘 IT 대기업 인수 뉴스,"U.S. tech megacaps slide as SpaceX extends slump, AI expense concerns grow",https://www.reuters.com/business/media-telecom/us-tech-megacaps-slide-spacex-extends-slump-ai-expense-concerns-grow-2026-06-22/,Reuters,"Reuters roundup noting AI expense concerns and related big-tech moves, including follow-on coverage of recent deal activity around SpaceX and AI infrastructure."
2026-06-22,2026-06-23 오늘 IT 대기업 인수 뉴스,Alphabet Stock Sinks as Nobel AI Scientist Defects to Anthropic,https://finance.yahoo.com/technology/ai/articles/alphabet-stock-sinks-nobel-ai-185457499.html,Yahoo Finance,Market coverage on AI talent and competitive moves among big tech and AI firms; not a direct acquisition announcement but relevant to today’s IT corporate action flow.
2026-06-22,2026-06-23 오늘 IT 대기업 인수 뉴스,Hyperscalers sell off as markets question big AI spend,https://www.cnbc.com/video/2026/06/22/hyperscalers-sell-off-as-markets-question-big-ai-spend.html,CNBC,"Video report on hyperscalers and AI spending concerns, with context around major IT companies' capital deployment and deal activity."
